ProductID,LaunchQuarter,RAM,Storage,ProcessorScore,CameraMP,Battery,Is5G,PremiumMaterial
P001,4,6,256,7,30,3953,0,0
P002,5,12,64,8,69,5539,1,1
P003,3,4,256,5,107,5960,1,0
P004,5,8,128,8,12,4542,1,1
P005,5,8,64,9,80,4197,1,1
P006,2,12,128,9,15,4676,1,0
P007,3,8,128,5,27,4191,0,1
P008,3,4,128,7,35,5217,0,0
P009,3,12,256,6,91,4416,0,0
P010,5,4,256,5,13,5993,0,0
P011,4,12,64,6,103,5842,1,0
P012,3,12,64,6,43,5681,0,1
P013,5,6,256,7,102,4217,1,1
P014,2,4,128,6,95,4540,0,1
P015,4,8,64,6,35,5076,1,0
P016,2,8,256,7,23,4445,1,1
P017,4,4,256,6,61,5386,0,0
P018,5,8,256,6,46,4519,0,1
P019,1,8,128,6,44,4388,0,1
P020,4,4,256,5,44,4856,0,1
P021,2,12,256,5,72,4365,1,0
P022,5,4,256,5,62,3499,0,1
P023,4,12,256,7,54,4680,0,1
P024,1,8,64,9,23,3510,1,0
P025,1,8,64,6,78,3216,0,1
P026,3,8,256,6,76,4324,0,0
P027,3,6,128,7,44,4155,0,1
P028,2,12,64,6,51,4827,0,0
P029,4,6,256,5,85,4810,0,0
P030,4,6,64,9,54,5492,1,1
P031,3,4,64,8,55,5923,0,0
P032,4,6,128,6,40,4205,0,0
P033,4,4,256,5,24,5214,0,0
P034,1,4,256,8,23,3090,0,0
P035,3,6,128,9,106,3713,0,0
P036,5,12,128,8,57,4881,1,0
P037,3,12,256,5,13,3038,0,1
P038,5,12,256,8,46,3172,1,0
P039,1,12,128,7,98,3652,1,0
P040,2,12,64,8,92,3753,0,1
P041,4,6,64,6,101,4243,0,1
P042,1,6,128,6,19,4081,0,1
P043,4,8,64,7,104,4683,0,1
P044,2,12,128,5,37,5523,1,1
P045,2,6,64,6,85,3455,0,1
P046,1,8,64,9,101,3828,0,1
P047,2,12,256,6,45,3894,0,0
P048,5,4,256,6,18,4384,0,0
P049,2,8,64,5,79,4958,0,1
P050,4,6,64,8,69,5434,0,0
P051,4,4,256,6,86,4996,1,0
P052,4,4,256,7,40,5395,1,0
P053,4,4,256,8,47,3189,0,1
P054,5,8,128,9,100,3504,0,1
P055,3,6,64,5,32,4214,0,0
P056,1,4,256,9,47,4531,1,1
P057,4,12,64,8,21,3823,0,0
P058,2,4,128,8,84,3928,1,0
P059,4,4,128,8,35,3933,0,0
P060,2,8,256,9,75,4140,0,0
P061,2,8,128,8,60,3133,0,1
P062,4,6,64,9,47,5105,0,1
P063,5,12,256,8,93,3684,1,1
P064,2,8,64,7,107,5719,1,0
P065,2,4,64,8,35,5220,0,1
P066,4,6,128,9,34,4852,0,0
P067,2,4,128,6,73,3814,1,1
P068,2,4,128,8,107,4172,1,0
P069,4,8,128,6,48,3079,1,0
P070,4,6,128,7,23,5933,1,0
P071,1,12,256,5,66,3202,0,1
P072,5,12,64,7,24,5811,1,1
P073,5,8,64,8,34,4252,0,1
P074,2,8,64,6,100,4699,1,1
P075,5,6,64,6,41,4250,1,0
P076,2,12,128,9,28,4682,1,1
P077,1,12,64,6,73,4555,1,1
P078,4,12,256,9,95,5094,1,0
P079,4,4,256,5,100,4256,0,0
P080,4,12,64,8,97,4549,0,0
P081,5,4,64,9,24,4166,1,1
P082,1,6,256,5,70,4396,1,0
P083,5,4,256,6,30,5703,0,0
P084,5,6,128,6,60,3470,1,0
P085,1,12,256,5,23,4035,1,1
P086,1,12,128,6,72,4353,0,0
P087,1,6,128,5,30,5783,1,1
P088,1,8,128,9,87,5831,1,1
P089,4,6,128,9,20,3967,0,0
P090,3,8,128,5,82,3357,0,0
P091,3,4,64,9,39,3667,0,1
P092,1,4,256,9,89,3372,1,0
P093,3,4,128,9,106,4031,0,0
P094,3,12,256,7,63,4145,0,1
P095,1,4,256,8,94,4371,0,1
P096,3,8,128,6,27,5723,0,0
P097,5,4,64,7,80,3089,0,1
P098,2,6,128,9,23,5745,0,0
P099,2,6,64,5,36,3539,1,0
P100,1,12,256,9,63,5779,1,0
P101,4,6,64,8,96,3868,0,1
P102,1,8,64,9,64,3040,0,0
P103,4,4,64,5,34,3739,0,0
P104,2,12,256,8,27,4946,1,0
P105,1,4,256,9,68,5549,1,1
P106,5,4,64,8,50,4224,1,1
P107,3,8,64,6,64,3928,1,1
P108,4,6,128,6,53,5036,1,1
P109,3,6,64,9,69,5508,1,1
P110,3,4,128,8,50,5779,1,0
P111,1,12,64,5,25,5799,1,1
P112,3,6,128,9,106,3924,1,1
P113,5,12,256,6,16,5956,0,1
P114,3,6,64,6,46,4581,0,0
P115,1,12,64,9,98,3389,0,1
P116,5,8,64,8,104,4617,0,1
P117,2,12,64,6,86,5930,1,0
P118,3,8,128,8,29,3255,1,1
P119,1,8,64,6,87,3708,0,0
P120,2,12,256,6,20,4838,1,0
